# Rime user dictionary
#@/db_name	phrases_smp_all.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	22014
#@/user_id	Rime
a 	啊	c=120 d=1.46935 t=22014
chi he la sa 	吃喝拉撒	c=1 d=9.07613e-37 t=22014
chong 	充	c=5 d=0.860074 t=22014
chong bai zhe 	崇拜者	c=1 d=6.76344e-18 t=22014
chong dao 	衝到	c=4 d=0.424346 t=22014
chong dian 	充電	c=28 d=1.28025 t=22014
chong dian qi 	充電器	c=12 d=8.35668e-29 t=22014
chong die 	重疊	c=1 d=2.89523e-36 t=22014
chong fen 	充分	c=1 d=8.27496e-38 t=22014
chong man 	充滿	c=3 d=0.706081 t=22014
chong qi 	重啓	c=20 d=2.61413 t=22014
chong qi guo 	重啓國	c=1 d=1 t=21545
chong qi hou 	重啓後	c=2 d=0.079659 t=22014
chong tu 	衝突	c=2 d=0.0150707 t=22014
chong xin 	重新	c=6 d=0.346582 t=22014
chong zhi 	充值	c=1 d=6.86332e-14 t=22014
chong zhi 	重置	c=3 d=0.137875 t=22014
chong zhuang 	重裝	c=1 d=0.255381 t=22014
chong zhuang xi tong 	重裝系統	c=1 d=1.14275e-11 t=22014
chou 	丑	c=1 d=5.53179e-07 t=22014
chou 	抽	c=1 d=1 t=21812
chou tai 	醜態	c=1 d=4.21396e-40 t=22014
chu 	出	c=16 d=0.670635 t=22014
chu 	初	c=2 d=2.37089e-09 t=22014
chu 	觸	c=1 d=1.12126e-23 t=22014
chu ban she 	出版社	c=1 d=1 t=20752
chu bie 	擉鱉	c=1 d=1 t=22010
chu chai 	出差	c=1 d=0.000102055 t=22014
chu chang 	出廠	c=3 d=4.74756e-19 t=22014
chu chang she zhi 	出厂设置	c=2 d=7.2967e-26 t=22014
chu duo 	出多	c=0 d=1.41999e-38 t=22014
chu duo xie 	出多些	c=1 d=1.42711e-37 t=22014
chu fa 	觸發	c=1 d=3.55094e-26 t=22014
chu fei 	除非	c=5 d=0.00177373 t=22014
chu feng 	出风	c=1 d=1 t=20870
chu gou 	芻狗	c=1 d=1 t=20845
chu guo 	出國	c=1 d=0.0176857 t=22014
chu huo 	出貨	c=1 d=2.03075e-40 t=22014
chu kou 	出口	c=2 d=5.99302e-19 t=22014
chu lai 	出來	c=4 d=4.05779e-31 t=22014
chu le 	除了	c=2 d=0.648866 t=22014
chu li qi 	處理器	c=1 d=3.65212e-33 t=22014
chu mo ban 	觸摸板	c=8 d=4.89211e-05 t=22014
chu mo ping 	觸摸屏	c=1 d=1.53037e-06 t=22014
chu pin 	出品	c=1 d=6.20471e-33 t=22014
chu qian 	出錢	c=1 d=1.01332e-38 t=22014
chu shang 	初上	c=1 d=3.96384e-26 t=22014
chu shou 	出售	c=1 d=5.01901e-38 t=22014
chu si 	處死	c=1 d=2.82431e-09 t=22014
chu xian 	出現	c=8 d=0.0737073 t=22014
chu yi ge 	出一个	c=1 d=2.22781e-12 t=22014
chu yu 	處於	c=4 d=4.26862e-41 t=22014
chu zai 	處在	c=1 d=1 t=21384
chu zhi 	處置	c=1 d=2.42497e-39 t=22014
chu zhong 	初中	c=2 d=0.00194986 t=22014
chu zhong 	初衷	c=1 d=0.00195963 t=22014
chuan 	串	c=1 d=4.22573e-14 t=22014
chuan 	傳	c=4 d=1.10457e-22 t=22014
chuan 	穿	c=1 d=0.000483239 t=22014
chuan dao 	傳到	c=1 d=7.84171e-23 t=22014
chuan gan qi 	傳感器	c=2 d=1.22962e-20 t=22014
chuan shuo 	傳說	c=2 d=6.46693e-20 t=22014
chuan yan 	傳言	c=1 d=1.70472e-40 t=22014
chuang jian 	創建	c=3 d=2.83496 t=19789
chuang kou 	窗口	c=1 d=7.43091e-37 t=22014
chuang zao 	創造	c=1 d=5.7464e-42 t=22014
chuang zhao 	床照	c=2 d=1.88984e-39 t=22014
chui 	吹	c=1 d=1 t=19624
chui niu 	吹牛	c=0 d=5.75754e-07 t=22014
chui niu ba 	吹牛吧	c=1 d=5.7864e-06 t=22014
chun 	春	c=2 d=1.90032 t=21069
chun cui 	純粹	c=2 d=5.25323e-14 t=22014
chun ji 	春季	c=1 d=1.32701e-05 t=22014
chun qiu zhan guo 	春秋戰國	c=1 d=1.56938e-08 t=22014
chun yao 	春藥	c=1 d=3.15272e-09 t=22014
chun ye men 	纯爷们	c=1 d=1.95079e-38 t=22014
chun zhen 	純真	c=1 d=1 t=21320
ci 	次	c=3 d=2.42794e-24 t=22014
ci dian 	詞典	c=1 d=1 t=20754
ci hai 	辭海	c=1 d=1 t=20756
ci ke 	刺客	c=1 d=1.17124e-36 t=22014
ci ke xin tiao 	刺客信条	c=1 d=1.30903e-21 t=22014
ci sha 	刺殺	c=1 d=1.14232e-36 t=22014
ci shi 	此時	c=1 d=1.95145e-42 t=22014
ci yu 	詞語	c=1 d=1 t=20009
cong 	從	c=41 d=0.0746683 t=22014
cong er 	從而	c=1 d=1.10341e-40 t=22014
cong lai 	從來	c=1 d=2.7889e-37 t=22014
cong mei you 	從沒有	c=1 d=1 t=21595
cong ta men 	從他們	c=1 d=1 t=21397
cong tou 	從頭	c=1 d=4.93085e-06 t=22014
cu shi 	促使	c=1 d=1 t=21236
cui 	脆	c=1 d=2.21588e-37 t=22014
cui qing 	催情	c=1 d=3.16852e-09 t=22014
cui ruo 	脆弱	c=1 d=6.51153e-42 t=22014
cun 	存	c=1 d=1.251e-17 t=22014
cun 	寸	c=1 d=6.62141e-33 t=22014
cun chu 	存儲	c=7 d=1.48641e-16 t=22014
cun huo 	存活	c=1 d=5.87985e-18 t=22014
cun huo 	存貨	c=1 d=5.85053e-18 t=22014
cun kuan 	存款	c=1 d=1 t=21186
cun yi 	存疑	c=1 d=1.48509e-35 t=22014
cun you 	存有	c=1 d=7.02009e-15 t=22014
cun zai 	存在	c=5 d=1.2316e-40 t=22014
cuo 	錯	c=1 d=1.38903e-13 t=22014
cuo wu 	錯誤	c=2 d=1.43133e-13 t=22014
da 	大	c=11 d=0.0439369 t=22014
da 	打	c=8 d=0.0333773 t=22014
da 	達	c=1 d=6.51506e-19 t=22014
da an 	答案	c=1 d=2.11111e-26 t=22014
da bai le 	打败了	c=1 d=0.112478 t=22014
da bi pin 	大比拼	c=2 d=2.46735e-22 t=22014
da bian 	大便	c=2 d=3.22132e-38 t=22014
da bu fen 	大部分	c=2 d=1.19494e-07 t=22014
da bu kai 	打不開	c=2 d=1.54539e-11 t=22014
da dao 	達到	c=1 d=1.23364e-29 t=22014
da di 	大帝	c=0 d=4.15914e-34 t=22014
da dian hua 	打電話	c=3 d=0.000285862 t=22014
da dou 	大豆	c=1 d=1.26555e-06 t=22014
da dou 	大都	c=1 d=1.3041e-06 t=22014
da duo 	大多	c=2 d=1.14906e-17 t=22014
da feng 	大風	c=0 d=0.1 t=21253
da feng chang 	大風廠	c=3 d=2.79276 t=21283
da gai 	大概	c=13 d=0.364171 t=22014
da ge 	大哥	c=1 d=8.22388e-24 t=22014
da ge 	打個	c=1 d=2.14046e-12 t=22014
da gong si 	大公司	c=1 d=1.13196e-17 t=22014
da gong zai 	打工仔	c=1 d=3.99687e-06 t=22014
da hao 	大號	c=1 d=3.22353e-35 t=22014
da he ji 	大合集	c=1 d=4.39804e-43 t=22014
da hu 	大戶	c=1 d=4.77439e-09 t=22014
da huan 	大患	c=1 d=0.0135009 t=22014
da ji 	打擊	c=1 d=0.179066 t=22014
da jia 	大家	c=27 d=0.00184881 t=22014
da jia 	打架	c=2 d=0.182092 t=22014
da jian 	搭建	c=3 d=7.43242e-10 t=22014
da jie an 	大劫案	c=1 d=1 t=19860
da kai 	打開	c=32 d=0.560131 t=22014
da kai guo 	打开过	c=2 d=7.12608e-26 t=22014
da kang 	达康	c=0 d=0.1 t=21008
da lao 	大佬	c=14 d=0.000614317 t=22014
da lao men 	大佬们	c=3 d=4.98296e-16 t=22014
da lu 	大陸	c=1 d=9.3062e-08 t=22014
da meng 	大夢	c=1 d=8.24938e-31 t=22014
da ping mu 	大屏幕	c=1 d=1.1386e-27 t=22014
da ping tai 	大平台	c=1 d=4.19237e-09 t=22014
da po 	打破	c=1 d=1 t=21079
da qin 	大秦	c=1 d=2.3044e-37 t=22014
da qin di guo 	大秦帝國	c=17 d=2.66213e-12 t=22014
da qu shi 	大趨勢	c=1 d=1.6049e-36 t=22014
da ren wu 	大人物	c=1 d=2.22668e-06 t=22014
da rou 	大肉	c=3 d=2.9605 t=20486
da san yuan 	大三元	c=2 d=3.65574e-37 t=22014
da shan 	大山	c=2 d=7.03858e-08 t=22014
da shen 	大神	c=9 d=1.24973e-05 t=22014
da shi 	大事	c=1 d=6.21019e-14 t=22014
da shi 	大師	c=2 d=6.49708e-34 t=22014
da shu 	大叔	c=1 d=1 t=19970
da si 	打死	c=1 d=0.0160027 t=22014
da si ren 	打死人	c=1 d=0.0154523 t=22014
da tai ji 	打太極	c=1 d=2.32387e-38 t=22014
da tang 	大唐	c=0 d=2.58123e-10 t=22014
da tang hao fang nv 	大唐豪放女	c=1 d=2.59417e-09 t=22014
da wan 	大腕	c=1 d=0.00222055 t=22014
da xiang jing ting 	大相徑庭	c=1 d=5.70395e-43 t=22014
da xiao 	大小	c=2 d=0.000153011 t=22014
da xin wen 	大新闻	c=1 d=1.36644e-26 t=22014
da xiong mao 	大熊貓	c=1 d=7.95184e-40 t=22014
da xue 	大學	c=4 d=4.92482e-21 t=22014
da yin dian 	打印店	c=2 d=0.270702 t=22014
da you 	大有	c=1 d=3.24974e-42 t=22014
da you xi 	打遊戲	c=1 d=0.000308321 t=22014
da yu 	大於	c=0 d=2.31952e-17 t=22014
da yue 	大約	c=3 d=0.115903 t=22014
da zhang 	打仗	c=2 d=0.0690291 t=22014
da zhong 	大衆	c=1 d=0.00360656 t=22014
da zhong 	大鐘	c=1 d=3.11594e-18 t=22014
da zi ran 	大自然	c=2 d=1.87372 t=20853
dai 	代	c=1 d=1.47769e-35 t=22014
dai 	帶	c=11 d=0.00204108 t=22014
dai 	戴	c=2 d=1.59211e-27 t=22014
dai biao zuo 	代表作	c=1 d=1 t=20085
dai da 	带大	c=1 d=1 t=21220
dai dai 	帶帶	c=1 d=4.17075e-07 t=22014
dai hui jia 	帶回家	c=1 d=2.5467e-27 t=22014
dai hui lai 	帶回來	c=1 d=2.63741e-27 t=22014
dai kuan 	帶寬	c=3 d=0.965605 t=22014
dai li 	代理	c=9 d=2.51243e-07 t=22014
dai ma 	代碼	c=1 d=8.34675e-22 t=22014
dai yi ge 	帶一個	c=1 d=8.29637e-39 t=22014
dai zou 	帶走	c=1 d=5.34317e-39 t=22014
dan 	但	c=10 d=0.0031354 t=22014
dan 	膽	c=1 d=8.3567e-36 t=22014
dan dan 	單單	c=1 d=8.24517e-25 t=22014
dan dan 	蛋蛋	c=1 d=6.64081e-38 t=22014
dan du 	單獨	c=4 d=7.86743e-16 t=22014
dan ge 	單個	c=1 d=0.000765486 t=22014
dan jian 	單間	c=1 d=1.07007e-32 t=22014
dan mu 	彈幕	c=1 d=2.89976e-25 t=22014
dan shi 	但是	c=74 d=0.164544 t=22014
dan shi bu gou 	但是不夠	c=1 d=7.15802e-38 t=22014
dan shi ji 	但实际	c=1 d=1.16081e-19 t=22014
dan teng 	蛋疼	c=4 d=4.52175e-07 t=22014
dan tiao 	單挑	c=1 d=0.0196437 t=22014
dan tong 	蛋筒	c=1 d=0.597501 t=22014
dan xin 	擔心	c=6 d=5.02737e-07 t=22014
dan yin hao 	單引號	c=4 d=0.000289033 t=22014
dan zai 	但在	c=1 d=2.62069e-11 t=22014
dang 	檔	c=2 d=2.15184e-36 t=22014
dang 	當	c=4 d=0.236928 t=22014
dang 	黨	c=1 d=1.613e-07 t=22014
dang ban 	擋板	c=1 d=6.69251e-41 t=22014
dang nian 	當年	c=2 d=0.0297478 t=22014
dang qian 	當前	c=2 d=2.75712e-19 t=22014
dang ran 	當然	c=2 d=2.94902e-16 t=22014
dang shang 	當上	c=1 d=1 t=21437
dang shi 	當時	c=8 d=0.0407622 t=22014
dang wei 	檔位	c=2 d=1.60497e-29 t=22014
dang zuo 	當作	c=1 d=3.137e-09 t=22014
dao 	刀	c=1 d=8.4206e-08 t=22014
dao 	到	c=72 d=1.87894 t=22014
dao 	導	c=1 d=3.31369e-36 t=22014
dao ban 	盜版	c=3 d=0.488765 t=22014
dao bu le 	到不了	c=1 d=1.27519e-07 t=22014
dao bu ru 	倒不如	c=1 d=1 t=20879
dao chu 	到處	c=1 d=4.65715e-40 t=22014
dao chu shi 	到處是	c=1 d=1.11105e-33 t=22014
dao de jing 	道德經	c=2 d=1.99501 t=20801
dao di 	到底	c=16 d=0.060205 t=22014
dao jiao 	到脚	c=1 d=4.95556e-06 t=22014
dao le 	到了	c=3 d=0.535261 t=22014
dao li 	道理	c=1 d=1.25942e-37 t=22014
dao mei 	倒霉	c=1 d=4.5643e-09 t=22014
dao qi 	到期	c=1 d=6.66048e-14 t=22014
dao qi hou 	到期后	c=1 d=5.0914e-30 t=22014
dao shi 	倒是	c=3 d=0.0189657 t=22014
dao shi 	到時	c=3 d=0.644036 t=22014
dao tian 	到天	c=1 d=9.62262e-19 t=22014
dao tou lai 	到頭來	c=1 d=1 t=21331
dao xian zai 	到現在	c=1 d=1 t=21529
dao yan 	導演	c=1 d=1 t=21124
dao zhi 	導致	c=3 d=0.00334597 t=22014
de 	得	c=4 d=0.0395575 t=22014
de 	德	c=2 d=0.000581442 t=22014
de 	的	c=1221 d=14.0092 t=22014
de dao 	得到	c=1 d=4.33256e-43 t=22014
de guo 	德國	c=18 d=4.43654e-14 t=22014
de guo ban 	德國版	c=4 d=0.145876 t=22014
de yi 	得以	c=1 d=1 t=21429
de zhi 	得知	c=1 d=1.13369e-35 t=22014
dei 	得	c=0 d=2.97529e-05 t=22014
deng 	燈	c=1 d=5.84039e-27 t=22014
deng 	等	c=33 d=0.00835111 t=22014
deng bu 	等不	c=1 d=4.99228e-34 t=22014
deng bu ji 	等不及	c=1 d=1.05942e-32 t=22014
deng ji 	登記	c=1 d=2.04023e-36 t=22014
deng jia 	等價	c=2 d=2.31448e-41 t=22014
deng lu 	登錄	c=15 d=1.60103 t=22014
deng lu bu le 	登錄不了	c=1 d=5.06773e-34 t=22014
deng wo 	等我	c=1 d=2.63966e-37 t=22014
deng xin 	燈芯	c=1 d=1 t=20502
deng yi xia 	等一下	c=2 d=1.25896e-19 t=22014
di 	低	c=4 d=0.0578443 t=22014
di 	底	c=1 d=1.41975e-35 t=22014
di 	滴	c=2 d=6.68682e-31 t=22014
di 	第	c=2 d=4.53013e-35 t=22014
di bu 	地步	c=1 d=6.09863e-36 t=22014
di bu 	底部	c=1 d=6.06821e-36 t=22014
di deng 	低等	c=1 d=1.40567e-06 t=22014
di diao 	低調	c=2 d=4.24619e-12 t=22014
di er ge 	第二個	c=2 d=2.76189e-22 t=22014
di er ji 	第二季	c=1 d=2.58167e-11 t=22014
di fang 	地方	c=17 d=0.589835 t=22014
di guo 	帝國	c=1 d=2.3159e-37 t=22014
di guo zhu yi 	帝國主義	c=1 d=0.0426384 t=22014
di ji cuo wu 	低级错误	c=1 d=0.0992613 t=22014
di qing 	敵情	c=1 d=1 t=21094
di qiu 	地球	c=2 d=0.00108628 t=22014
di qu 	地區	c=3 d=3.37259e-08 t=22014
di ren jie 	狄仁傑	c=1 d=0.00010569 t=22014
di san 	第三	c=2 d=7.57095e-43 t=22014
di san bo 	第三波	c=1 d=1.67245e-21 t=22014
di san bu 	第三部	c=17 d=2.67548e-12 t=22014
di san fang 	第三方	c=21 d=1.13545e-12 t=22014
di san xiang 	第三項	c=1 d=7.04066e-20 t=22014
di shang 	地上	c=2 d=3.95777e-08 t=22014
di shang 	遞上	c=1 d=9.12318e-39 t=22014
di si 	第四	c=1 d=3.84264e-43 t=22014
di si ge 	第四個	c=1 d=3.97951e-43 t=22014
di tie 	地鐵	c=2 d=7.79596e-13 t=22014
di tu 	地圖	c=5 d=3.21223e-17 t=22014
di wu 	第五	c=1 d=0.00010622 t=22014
di wu ge 	第五個	c=1 d=4.10071e-43 t=22014
di wu zhang 	第五章	c=1 d=1 t=20802
di yi 	第一	c=3 d=7.83102e-11 t=22014
di yi bu 	第一步	c=2 d=1.12884e-14 t=22014
di yi bu fen 	第一部分	c=1 d=2.73563e-16 t=22014
di yi ci 	第一次	c=2 d=1.80522e-08 t=22014
di yi ge 	第一個	c=5 d=4.26747e-12 t=22014
di zhi 	地址	c=11 d=0.00557201 t=22014
dia 	嗲	c=0 d=1.4049e-30 t=22014
dian 	店	c=1 d=3.88601e-28 t=22014
dian 	電	c=4 d=1.40471e-19 t=22014
dian 	點	c=9 d=0.208045 t=22014
dian chi 	電池	c=19 d=1.68501 t=22014
dian er 	點兒	c=2 d=0.15652 t=22014
dian fan guo 	電飯鍋	c=1 d=1.14372e-21 t=22014
dian hua 	電話	c=9 d=0.171187 t=22014
dian ji 	點擊	c=20 d=0.458406 t=22014
dian jin qu 	點進去	c=1 d=1.6191e-22 t=22014
dian liang 	電量	c=9 d=0.53387 t=22014
dian liu 	電流	c=4 d=2.74572e-29 t=22014
dian nao 	電腦	c=21 d=0.000534748 t=22014
dian nao ban 	计算机板	c=1 d=0.000338834 t=22014
dian nao shang 	计算机商	c=1 d=2.3067e-39 t=22014
dian shi 	電視	c=1 d=1 t=20208
dian shi ju 	電視劇	c=18 d=2.18296 t=22014
dian xin 	電信	c=9 d=0.88692 t=22014
dian ya 	電壓	c=7 d=3.6084e-09 t=22014
dian ying 	電影	c=5 d=0.000146617 t=22014
dian yuan 	電源	c=5 d=0.00014625 t=22014
dian yuan jian 	电源键	c=4 d=0.431711 t=22014
dian zi shu 	電子書	c=7 d=4.73536 t=20743
diao 	掉	c=10 d=3.93803e-08 t=22014
diao dao 	調到	c=1 d=7.87432e-13 t=22014
diao dian 	掉电	c=5 d=3.67893 t=21832
diao xia lai 	掉下來	c=1 d=3.13156e-18 t=22014
diao yu 	釣魚	c=1 d=1 t=20668
die jia 	疊加	c=10 d=1.49719e-40 t=22014
ding 	定	c=1 d=1 t=21040
ding shi 	定時	c=1 d=1 t=21904
ding yi ge 	顶一个	c=2 d=4.89124e-21 t=22014
ding yue 	訂閱	c=1 d=1.58871e-05 t=22014
ding zhe 	盯着	c=1 d=1.86882e-33 t=22014
ding zhe kan 	盯着看	c=1 d=1.87398e-36 t=22014
ding zhi 	定製	c=1 d=2.62113e-13 t=22014
diu bao lv 	丢包率	c=1 d=4.93153e-37 t=22014
diu shi 	丟失	c=1 d=1 t=21783
dong 	懂	c=1 d=4.30582e-29 t=22014
dong 	東	c=3 d=2.78179e-07 t=22014
dong 	棟	c=1 d=1.3138e-05 t=22014
dong 	洞	c=2 d=6.65595e-06 t=22014
dong 	董	c=1 d=1 t=21898
dong dong 	東東	c=7 d=5.43813e-11 t=22014
dong guo 	動過	c=1 d=0.559898 t=22014
dong han 	東漢	c=1 d=1.25963e-39 t=22014
dong lai 	東來	c=0 d=0.1 t=21106
dong shi zhang 	董事長	c=2 d=1.98511 t=21259
dong xi 	東西	c=51 d=1.18375 t=22014
dong yuan 	動員	c=1 d=4.64607e-12 t=22014
dong zuo 	動作	c=1 d=2.12609e-21 t=22014
dou 	都	c=60 d=1.07636 t=22014
dou 	鬥	c=1 d=1 t=20503
dou ban 	豆瓣	c=12 d=0.83527 t=22014
dou bu 	都不	c=0 d=4.13417e-22 t=22014
dou bu cuo 	都不错	c=1 d=1 t=21007
dou bu gong kai 	都不公開	c=1 d=4.15489e-21 t=22014
dou bu neng 	都不能	c=1 d=0.0129068 t=22014
dou bu xing 	都不行	c=1 d=5.83741e-21 t=22014
dou bu xu yao 	都不需要	c=1 d=9.0327e-10 t=22014
dou dao 	都到	c=1 d=1.56155e-08 t=22014
dou dong 	抖動	c=3 d=2.13078e-33 t=22014
dou hui 	都會	c=1 d=0.00117675 t=22014
dou jian yi 	都建議	c=1 d=3.44951e-38 t=22014
dou kao 	都烤	c=1 d=1.15482e-17 t=22014
dou ke yi 	都可以	c=1 d=1 t=20062
dou mei you 	都沒有	c=7 d=1.49696e-11 t=22014
dou shi 	都是	c=44 d=0.285749 t=22014
dou shi 	鬥士	c=2 d=1.34646 t=21590
dou shuo 	都說	c=3 d=2.64567e-05 t=22014
dou wang ji 	都忘記	c=1 d=6.85982e-08 t=22014
dou yao 	都要	c=8 d=0.680471 t=22014
dou yao qian 	都要钱	c=1 d=1.38234e-15 t=22014
dou yong 	都用	c=5 d=0.12307 t=22014
dou you 	都有	c=2 d=1.20695e-07 t=22014
dou zai 	都在	c=1 d=6.266e-31 t=22014
dou zheng 	鬥爭	c=1 d=1 t=21385
dou zhi dao 	都知道	c=1 d=8.75204e-21 t=22014
du 	杜	c=4 d=0.0323869 t=22014
du 	讀	c=2 d=2.73305e-35 t=22014
du du 	肚肚	c=1 d=9.81001e-40 t=22014
du fan 	毒販	c=1 d=1.03203e-18 t=22014
du kou 	渡口	c=0 d=2.3473e-10 t=22014
du li 	獨立	c=1 d=4.1614e-10 t=22014
du shu 	讀書	c=2 d=0.839457 t=22014
du shu ren 	讀書人	c=3 d=3.36441e-36 t=22014
duan 	斷	c=1 d=1 t=19648
duan 	短	c=3 d=4.34311e-20 t=22014
duan 	端	c=3 d=3.03754e-10 t=22014
duan kou 	端口	c=6 d=0.000181365 t=22014
duan lu 	短路	c=1 d=4.8783e-27 t=22014
duan xia 	端下	c=0 d=5.76539e-23 t=22014
duan xin 	短信	c=4 d=2.00544e-20 t=22014
duan zan 	短暫	c=1 d=6.50841e-07 t=22014
dui 	對	c=29 d=0.188753 t=22014
dui 	隊	c=1 d=3.60902e-11 t=22014
dui bi 	對比	c=4 d=1.62801e-32 t=22014
dui bu shang 	對不上	c=1 d=4.49085e-24 t=22014
dui cheng 	對稱	c=2 d=5.75022e-11 t=22014
dui fang 	對方	c=5 d=9.31095e-14 t=22014
dui ni 	對你	c=1 d=2.20258e-25 t=22014
dui shou 	對手	c=2 d=0.0443785 t=22014
dui xiang 	對象	c=4 d=0.00201931 t=22014
dui ying 	對應	c=6 d=1.18365e-13 t=22014
dun 	墩	c=2 d=1.53184e-39 t=22014
dun dun 	墩墩	c=1 d=7.87272e-40 t=22014
duo 	多	c=14 d=0.421052 t=22014
duo 	綞	c=2 d=5.95041e-43 t=22014
duo chang 	多長	c=2 d=5.04074e-30 t=22014
duo chong 	多充	c=1 d=7.43495e-14 t=22014
duo ci 	多次	c=1 d=1 t=21323
duo ci yi ju 	多此一舉	c=1 d=5.96567e-12 t=22014
duo da 	多大	c=0 d=4.72849e-14 t=22014
duo da yong 	多大用	c=1 d=4.75219e-13 t=22014
duo dian 	多點	c=0 d=2.13602e-18 t=22014
duo dian er 	多點而	c=1 d=2.14673e-17 t=22014
duo ge 	多個	c=10 d=4.09725e-22 t=22014
duo jiu 	多久	c=4 d=1.85117e-17 t=22014
duo le 	多了	c=6 d=0.113608 t=22014
duo ren wu 	多任務	c=1 d=3.83741e-27 t=22014
duo shao 	多少	c=10 d=4.61129e-08 t=22014
duo shao dian 	多少電	c=1 d=1.20007e-28 t=22014
duo shao qian 	多少錢	c=1 d=3.03013e-13 t=22014
duo shuo 	多說	c=1 d=3.64467e-09 t=22014
duo tiao 	多條	c=2 d=1.69411e-40 t=22014
duo yu 	多餘	c=15 d=0.00382958 t=22014
e 	惡	c=2 d=1.98511 t=20839
e 	額	c=1 d=1.1298e-24 t=22014
e 	餓	c=1 d=1 t=20643
e luo si 	俄羅斯	c=1 d=8.18286e-24 t=22014
e wai 	額外	c=4 d=0.231642 t=22014
e yi 	惡意	c=1 d=5.0959e-11 t=22014
en 	嗯	c=54 d=1.47378 t=22014
en 	恩	c=14 d=3.85209e-30 t=22014
en en 	嗯嗯	c=1 d=1.64413e-26 t=22014
en ke yi 	嗯可以	c=1 d=7.27015e-15 t=22014
en na 	嗯哪	c=1 d=9.58115e-27 t=22014
en ren 	恩人	c=0 d=1.4049e-30 t=22014
er 	兒	c=1 d=0.000713734 t=22014
er 	而	c=4 d=2.15296e-18 t=22014
er bu neng 	而不能	c=1 d=0.0342181 t=22014
er bu shi 	而不是	c=1 d=8.59217e-10 t=22014
er ji 	耳機	c=1 d=9.79833e-26 t=22014
er jin zhi 	二進制	c=1 d=3.62896e-17 t=22014
er mai 	耳麥	c=1 d=1.20277e-25 t=22014
er qie 	而且	c=9 d=1.44057e-05 t=22014
er shi 	而是	c=4 d=0.449329 t=22014
er shou 	二手	c=5 d=1.93571e-12 t=22014
er shou ji 	二手机	c=1 d=5.54894e-13 t=22014
er tong jie 	兒童節	c=1 d=4.61803e-29 t=22014
er wei 	二位	c=1 d=5.00265e-29 t=22014
er wei ma 	二維碼	c=2 d=1.00806e-28 t=22014
er xi 	兒媳	c=1 d=1 t=20921
er yi 	而已	c=6 d=0.0527216 t=22014
er zhan 	二戰	c=1 d=0.0502874 t=22014
er zi 	二字	c=4 d=0.0150405 t=22014
er zi 	兒子	c=7 d=0.0932073 t=22014
fa 	發	c=22 d=0.0466538 t=22014
fa biao 	發表	c=2 d=7.56856e-20 t=22014
fa bu 	發佈	c=4 d=1.62556e-10 t=22014
fa dian 	發電	c=1 d=7.83212e-38 t=22014
fa duan xin 	發短信	c=2 d=1.96089e-20 t=22014
fa ge 	發個	c=3 d=0.196912 t=22014
fa gei 	發給	c=1 d=3.40406e-29 t=22014
fa guan 	法官	c=1 d=5.25199e-13 t=22014
fa guo 	法國	c=1 d=0.0590129 t=22014
fa guo lai 	發過來	c=1 d=4.77017e-28 t=22014
fa guo qu 	發過去	c=1 d=1.3552e-17 t=22014
fa ji ju 	發幾句	c=1 d=7.03587e-12 t=22014
fa le 	發了	c=2 d=5.37658e-24 t=22014
fa qi 	發起	c=1 d=1.08757e-17 t=22014
fa re 	發熱	c=2 d=3.38536e-06 t=22014
fa she 	發射	c=2 d=7.13591e-41 t=22014
fa sheng 	發生	c=2 d=1.39564e-38 t=22014
fa sheng qi 	發生器	c=1 d=6.17796e-41 t=22014
fa song 	發送	c=1 d=2.0378e-22 t=22014
fa tie 	發帖	c=1 d=6.82793e-12 t=22014
fa xian 	發現	c=19 d=0.26215 t=22014
fa xie 	發泄	c=1 d=0.00337959 t=22014
fa yan 	發言	c=1 d=9.88503e-12 t=22014
fa yi feng 	發一封	c=1 d=2.2548e-36 t=22014
fa yi ge 	发一个	c=1 d=4.11705e-31 t=22014
fa you jian 	發郵件	c=1 d=1.40275e-11 t=22014
fa zhan 	發展	c=5 d=0.00628248 t=22014
fa zuo 	發作	c=2 d=1.9802 t=20462
fan 	犯	c=1 d=0.0987662 t=22014
fan du 	販毒	c=1 d=6.08618e-12 t=22014
fan er 	反而	c=1 d=1 t=21300
fan er 	范儿	c=0 d=3.38881e-36 t=22014
fan hui 	返回	c=1 d=8.7732e-20 t=22014
fan hui jian 	返回键	c=2 d=7.5953e-19 t=22014
fan ke 	繁苛	c=1 d=1 t=20875
fan kui 	反饋	c=1 d=3.59469e-23 t=22014
fan mai 	販賣	c=1 d=1.04439e-11 t=22014
fan mian ren wu 	反面人物	c=1 d=1 t=21140
fan qiang 	翻牆	c=10 d=2.69392e-07 t=22014
fan qie 	反切	c=1 d=0.000135032 t=22014
fan qie 	番茄	c=7 d=2.14463e-11 t=22014
fan ren 	煩人	c=1 d=8.18983e-34 t=22014
fan shen 	翻身	c=2 d=1.72414e-18 t=22014
fan tan 	反彈	c=0 d=0.1 t=20961
fan tan 	反貪	c=1 d=1 t=20980
fan tan ju 	反贪局	c=1 d=1 t=21439
fan tan ju zhang 	反彈局長	c=1 d=1 t=20962
fan xiu 	翻修	c=3 d=9.25688e-40 t=22014
fan xiu 	返修	c=1 d=3.0753e-40 t=22014
fan yi 	翻譯	c=4 d=0.00229965 t=22014
